date,sales,marketing_spend,avg_price,economic_index,holiday_flag,competitor_promo_index
2019-01-01,25681.74,51241.79,21.33,100.76,0,24.37
2019-02-01,26857.66,53404.34,21.13,100.9,0,14.17
2019-03-01,28368.24,58181.4,21.24,101.24,0,6.51
2019-04-01,28888.19,61557.57,20.69,101.63,0,16.55
2019-05-01,27757.81,56476.79,20.18,102.42,0,28.73
2019-06-01,27497.33,54164.66,20.54,102.82,0,22.81
2019-07-01,27623.53,55448.03,20.6,102.7,0,19.33
2019-08-01,26470.23,50168.59,21.28,102.95,0,13.4
2019-09-01,25417.66,44764.14,21.13,102.01,0,8.29
2019-10-01,25279.4,46606.4,21.67,102.81,0,17.82
2019-11-01,25482.56,45279.28,21.92,101.04,1,15.2
2019-12-01,26164.98,48085.68,21.61,103.02,1,21.86
2020-01-01,26618.42,53604.91,22.08,100.98,0,17.24
2020-02-01,27089.09,51966.8,21.75,99.49,0,7.33
2020-03-01,27835.24,55249.88,21.28,99.12,0,15.97
2020-04-01,29258.6,59344.28,20.85,100.27,0,13.71
2020-05-01,28758.47,57530.1,20.23,99.74,0,23.61
2020-06-01,28671.59,58535.62,20.58,100.67,0,25.32
2020-07-01,27391.17,52229.94,20.81,100.78,0,22.32
2020-08-01,26753.18,47719.24,21.02,100.77,0,6.76
2020-09-01,26908.46,52601.94,21.68,100.68,0,14.56
2020-10-01,25679.17,47685.56,22.29,100.75,0,18.03
2020-11-01,26630.12,49606.64,23.07,102.24,1,21.98
2020-12-01,26781.78,48688.13,22.54,103.92,1,26.31
2021-01-01,27892.1,54639.04,22.42,104.01,0,18.6
2021-02-01,29756.0,60027.31,22.0,103.38,0,9.27
2021-03-01,30324.67,59684.69,20.97,104.97,0,11.28
2021-04-01,31158.5,64689.25,21.29,105.47,0,16.84
2021-05-01,30338.56,61560.58,21.11,104.65,0,25.27
2021-06-01,29679.46,60020.77,21.94,105.55,0,26.91
2021-07-01,29096.97,55995.73,21.22,105.4,0,22.76
2021-08-01,29604.68,58880.7,21.76,104.25,0,7.36
2021-09-01,27826.87,51904.08,22.09,105.17,0,17.47
2021-10-01,27246.25,48605.72,22.1,104.97,0,12.14
2021-11-01,28279.83,54494.18,23.17,104.99,1,24.47
2021-12-01,28076.98,52197.89,23.1,104.57,1,26.69
2022-01-01,29203.69,59522.16,22.97,102.26,0,18.84
2022-02-01,29945.4,57850.82,22.06,102.31,0,9.2
2022-03-01,31130.27,62241.71,22.49,103.26,0,10.45
2022-04-01,32060.86,67242.15,21.16,103.17,0,16.52
2022-05-01,31887.29,67908.34,21.65,103.21,0,23.16
2022-06-01,31100.53,64178.42,22.21,106.06,0,27.48
2022-07-01,30667.59,60210.88,21.3,103.74,0,19.07
2022-08-01,29889.0,56497.24,21.82,104.62,0,8.99
2022-09-01,28324.07,51241.52,22.5,105.0,0,13.77
2022-10-01,28173.35,52450.39,22.69,105.36,0,18.92
2022-11-01,28724.64,54286.23,22.59,105.22,1,27.37
2022-12-01,30169.86,60892.81,23.22,106.72,1,26.82
2023-01-01,30682.64,62859.05,22.68,106.1,0,15.51
2023-02-01,31203.82,61342.4,22.91,107.07,0,9.39
2023-03-01,33095.06,69372.39,22.04,107.32,0,13.31
2023-04-01,33131.66,68787.29,22.56,108.1,0,19.83
2023-05-01,33261.59,67369.87,21.53,110.09,0,24.87
2023-06-01,32707.07,68279.19,21.69,106.81,0,25.28
2023-07-01,32170.21,66077.5,22.29,108.78,0,21.83
2023-08-01,31711.03,62578.2,21.95,106.76,0,9.3
2023-09-01,29879.47,55839.78,22.9,107.38,0,12.71
2023-10-01,29865.24,56476.97,23.68,108.27,0,17.39
2023-11-01,30958.12,59265.98,22.93,107.06,1,24.28
2023-12-01,31324.02,63688.86,23.62,105.75,1,28.22
2024-01-01,31113.11,63802.06,23.5,105.67,0,20.48
2024-02-01,32866.9,68285.85,23.38,106.48,0,13.51
2024-03-01,33326.58,68796.34,22.29,105.15,0,14.99
2024-04-01,33885.68,69759.48,21.91,105.81,0,18.06
2024-05-01,33964.42,74093.49,22.35,105.72,0,26.97
2024-06-01,33743.57,73140.6,22.27,105.34,0,24.0
2024-07-01,32829.27,66319.97,22.46,107.88,0,18.97
2024-08-01,32609.87,65758.83,22.86,107.1,0,10.68
2024-09-01,31449.31,61841.91,22.94,105.5,0,11.36
2024-10-01,30664.08,58637.2,23.67,107.87,0,19.79
2024-11-01,31728.64,62341.31,23.95,107.82,1,22.47
2024-12-01,32920.43,68095.09,23.67,109.67,1,31.21
2025-01-01,32940.5,67910.43,24.42,108.96,0,14.98
2025-02-01,35334.16,75661.61,23.63,110.05,0,7.43
2025-03-01,34522.5,68012.82,22.66,110.99,0,14.55
2025-04-01,36004.1,77804.76,22.96,111.61,0,20.37
2025-05-01,35268.27,75279.8,22.19,110.16,0,26.8
2025-06-01,34744.8,72002.48,22.8,110.92,0,26.81
2025-07-01,34375.42,69729.4,23.13,110.74,0,17.96
2025-08-01,32968.57,61281.08,22.81,110.4,0,8.38
2025-09-01,33093.62,63388.64,23.88,112.05,0,11.3
2025-10-01,32675.36,64142.78,24.09,110.61,0,15.97
2025-11-01,33433.23,68132.56,24.5,108.88,1,27.85
2025-12-01,33392.0,65954.32,24.94,110.22,1,24.49
